,xmin,ymin,xmax,ymax
0,431.00507,639.264,440.26804,649.67426
1,567.7314,776.2994,580.5167,795.8708
2,464.45056,686.10376,475.87582,698.1373
3,933.3522,116.7403,956.3017,127.51214
4,100.24746,11.023442,110.876366,24.05951
5,362.17355,188.1518,380.41113,195.35555
6,664.63965,158.95187,673.46045,165.9769
7,367.7855,402.96576,375.3244,410.45413
8,598.10645,70.003456,605.5393,75.84436
9,397.8367,589.2103,415.1511,611.4518
10,829.7615,929.6296,845.391,940.7038
11,894.45734,135.27954,904.4842,141.22157
12,307.45584,289.1244,315.89307,299.9217
13,872.394,968.08075,897.6441,983.9742
14,319.92117,315.13434,328.19788,331.93576
15,414.81824,609.238,424.7858,624.1806
16,315.68506,196.36107,323.1162,203.04591
17,519.828,745.11835,528.4428,754.97253
18,784.78876,904.4399,793.8648,911.7235
19,267.29352,930.56964,274.9658,936.96106
20,428.0438,178.30672,443.83566,186.16965
21,859.2267,134.27824,866.7278,139.707
22,652.2531,848.51105,660.1797,854.71906
23,391.9778,892.17914,399.29102,899.5773
24,367.49988,476.1157,373.39105,483.9696
25,577.65356,830.85974,584.74493,846.6979
26,915.0015,998.1225,923.14874,1005.4364
27,643.99634,168.24509,653.1049,173.74103
28,770.84296,131.10353,778.3089,136.84654
29,397.86957,747.5399,405.02487,768.94086
30,282.49243,259.21454,290.72202,268.76428
31,496.30737,176.00627,504.33322,182.54924
32,691.7112,865.08386,699.1699,871.75714
33,609.9806,815.4917,618.9936,826.0026
34,312.72028,923.3294,321.95892,928.3901
35,524.35626,174.16884,530.78577,180.00177
36,546.3472,768.2718,560.68677,778.746
37,328.94968,347.07993,335.16718,360.18665
38,728.2706,883.33234,742.69464,890.6914
39,399.93674,175.62799,417.1684,182.3052
40,372.6102,423.6632,378.09348,430.73108
41,509.77597,99.42394,515.74115,103.53845
42,484.5791,448.89093,489.79346,454.31076
43,395.93893,732.6588,402.0337,743.67224
44,375.93304,519.0725,382.43842,533.19543
45,472.55212,186.21935,483.84705,192.33838
46,448.10983,184.73335,462.57443,190.31523
47,366.53674,463.20837,372.98495,471.97128
48,591.4679,830.8606,601.1282,837.6828
